0.012	2.5782
0.028	3.1244
0.044	3.1518
0.06	2.0867
0.076	0.082276
0.092	-1.549
0.108	-0.93904
0.124	2.8337
0.14	8.5166
0.156	13.077
0.172	13.755
0.188	10.1
0.204	4.1743
0.219	-1.1242
0.235	-3.9634
0.251	-4.2411
0.267	-2.9376
0.283	-1.0998
0.299	0.69272
0.315	2.2291
0.331	3.3511
0.347	3.8593
0.363	3.6881
0.379	3.0592
0.395	2.3927
0.411	2.0513
0.427	2.1527
0.443	2.5626
0.459	3.0123
0.475	3.2459
0.491	3.1453
0.507	2.7842
0.522	2.3621
0.538	2.0499
0.554	1.8682
0.57	1.6959
0.586	1.3862
0.602	0.87669
0.618	0.20764
0.634	-0.54737
0.65	-1.3634
0.666	-2.2912
0.682	-3.4119
0.698	-4.7504
0.714	-6.2057
0.73	-7.5542
0.746	-8.5433
0.762	-9.0268
0.778	-9.0318
0.794	-8.6687
0.809	-7.9228
0.825	-6.5367
0.841	-4.1992
0.857	-1.0025
0.873	2.2374
0.889	4.2532
0.905	4.1593
0.921	2.169
0.937	-0.50417
0.953	-2.5096
0.969	-3.2137
0.985	-2.8769
1.001	-2.2078
1.017	-1.8279
1.033	-2.0296
1.049	-2.7927
1.064	-3.8531
1.081	-4.7625
1.097	-5.0344
1.112	-4.4099
1.128	-3.0744
1.144	-1.5894
1.16	-0.51721
1.176	-0.036743
1.192	0.091702
1.208	0.19779
1.224	0.37969
1.24	0.51468
1.256	0.51125
1.272	0.46267
1.288	0.55028
1.304	0.85745
1.32	1.2956
1.336	1.6496
1.352	1.6507
1.368	1.0844
1.384	0.014172
1.399	-0.9689
1.415	-0.80461
1.431	1.4028
1.447	5.4562
1.463	9.6902
1.479	11.8
1.495	10.434
1.511	6.1955
1.527	1.1808
1.543	-2.4646
1.559	-3.7023
1.575	-2.7762
1.591	-0.66797
1.607	1.5594
1.623	3.185
1.639	3.974
1.655	4.0932
1.671	3.8691
1.686	3.5419
1.702	3.1935
1.718	2.8644
1.734	2.6666
1.75	2.716
1.766	2.9575
1.782	3.1274
1.798	2.9473
1.814	2.3725
1.83	1.6502
1.846	1.1293
1.862	0.98958
1.878	1.1049
1.894	1.1318
1.91	0.73966
1.926	-0.18681
1.942	-1.5056
1.958	-2.9399
